stock_code,historical_name,corp_code,dart_corp_name,mapping_method,mapped
145720,,00526599,덴티움,stock_code,True
145990,,00896285,삼양사,stock_code,True
160190,,00650771,하이젠알앤엠,stock_code,True
161000,,00936787,애경케미칼,stock_code,True
161390,,00937324,한국타이어앤테크놀로지,stock_code,True
161580,,00938721,필옵틱스,stock_code,True
161890,,00939331,한국콜마,stock_code,True
166090,,00660750,하나머티리얼즈,stock_code,True
170900,,00956930,동아에스티,stock_code,True
174900,,00991191,앱클론,stock_code,True
175330,,00980122,JB금융지주,stock_code,True
178320,,00838005,서진시스템,stock_code,True
178920,,00767460,PI첨단소재,stock_code,True
180640,,00983040,한진칼,stock_code,True
181710,,00983271,NHN,stock_code,True
183300,,00997812,코미코,stock_code,True
183490,,00606886,엔지켐생명과학,stock_code,True
185750,,00992871,종근당,stock_code,True
189300,,00664181,인텔리안테크,stock_code,True
192080,,01010110,더블유게임즈,stock_code,True
192400,,00132354,쿠쿠홀딩스,stock_code,True
192530,,01028164,광주은행,stock_code,True
192650,,00415646,드림텍,stock_code,True
192820,,01009789,코스맥스,stock_code,True
194480,,01008762,데브시스터즈,stock_code,True
195870,,01032413,해성디에스,stock_code,True
195940,,01012066,HK이노엔,stock_code,True
196170,,00989619,알테오젠,stock_code,True
200130,,01032404,콜마비앤에이치,stock_code,True
200230,,00608802,텔콘RF제약,stock_code,True
204270,,00447575,제이앤티씨,stock_code,True
204320,,01042775,HL만도,stock_code,True
206640,,01046708,바디텍메드,stock_code,True
206650,,00927558,유바이오로직스,stock_code,True
207940,,00877059,삼성바이오로직스,stock_code,True
210980,,00508344,SK디앤디,stock_code,True
213420,,01061558,덕산네오룩스,stock_code,True
214150,,01061327,클래시스,stock_code,True
214320,,00565154,이노션,stock_code,True
214370,,00549891,케어젠,stock_code,True
214450,,00970453,파마리서치,stock_code,True
215000,,01067516,골프존,stock_code,True
215200,,01074862,메가스터디교육,stock_code,True
215600,,00919966,신라젠,stock_code,True
218410,,01078178,RFHIC,stock_code,True
222080,,01090471,SFA넥셀,stock_code,True
222800,,01095722,심텍,stock_code,True
225570,,01096341,넥슨게임즈,stock_code,True
226320,,00911955,잇츠한불,stock_code,True
226950,,01113718,올릭스,stock_code,True
229640,,01093007,LS에코에너지,stock_code,True
230360,,01029394,에코마케팅,stock_code,True
232140,,01109539,와이씨,stock_code,True
235980,,01336373,메드팩토,stock_code,True
237690,,00871833,에스티팜,stock_code,True
237880,,00957735,클리오,stock_code,True
240810,,01135941,원익IPS,stock_code,True
241560,,01032486,두산밥캣,stock_code,True
241590,,01128613,화승엔터프라이즈,stock_code,True
243070,,01159853,휴온스,stock_code,True
247540,,01160363,에코프로비엠,stock_code,True
248070,,01159233,솔루엠,stock_code,True
249420,,01168383,일동제약,stock_code,True
251270,,00904672,넷마블,stock_code,True
253450,,01168684,스튜디오드래곤,stock_code,True
256840,,01179617,한국비엔씨,stock_code,True
257720,,00982023,실리콘투,stock_code,True
259960,,00760971,크래프톤,stock_code,True
263050,,01110678,유틸렉스,stock_code,True
263750,,01152470,펄어비스,stock_code,True
265520,,01203808,AP시스템,stock_code,True
267250,,01205709,HD현대,stock_code,True
267260,,01205851,HD현대일렉트릭,stock_code,True
267270,,01205842,HD건설기계,stock_code,True
267980,,01234507,매일유업,stock_code,True
268600,,01182444,셀리버리,stock_code,True
271560,,01238169,오리온,stock_code,True
271940,,00972503,일진하이솔루스,stock_code,True
271980,,01236897,제일약품,stock_code,True
272210,,00339391,한화시스템,stock_code,True
272290,,01237540,이녹스첨단소재,stock_code,True
272450,,00653024,진에어,stock_code,True
