stock_code,period_key,rcept_no,rcept_dt,is_correction,source_type,zip_path,document_member,table_index,row_index,account_family,matched_account_name,statement_score,statement_score_reason,unit_hint,heading_context,columns_json,row_cells_json,numeric_candidates_json,row_text
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,164,2,operating_income,영업이익(손실),0,,백만원,(단위 : 백만원) || 가.영업실적 || 업 종류별 현황,"[""구 분"", ""2018년 6월 (제47기 반기)"", ""2017년 (제46기)"", ""2016년 (제45기)""]","[""영업이익(손실)"", ""17000"", ""23254"", ""21364""]","[{""column"": ""2018년 6월 (제47기 반기)"", ""raw"": ""17000"", ""numeric"": 17000.0}, {""column"": ""2017년 (제46기)"", ""raw"": ""23254"", ""numeric"": 23254.0}, {""column"": ""2016년 (제45기)"", ""raw"": ""21364"", ""numeric"": 21364.0}]",영업이익(손실) | 17000 | 23254 | 21364
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,164,4,net_income,당기순이익(손실),0,,백만원,(단위 : 백만원) || 가.영업실적 || 업 종류별 현황,"[""구 분"", ""2018년 6월 (제47기 반기)"", ""2017년 (제46기)"", ""2016년 (제45기)""]","[""당기순이익(손실)"", ""16178"", ""21742"", ""23876""]","[{""column"": ""2018년 6월 (제47기 반기)"", ""raw"": ""16178"", ""numeric"": 16178.0}, {""column"": ""2017년 (제46기)"", ""raw"": ""21742"", ""numeric"": 21742.0}, {""column"": ""2016년 (제45기)"", ""raw"": ""23876"", ""numeric"": 23876.0}]",당기순이익(손실) | 16178 | 21742 | 23876
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,197,4,revenue,영업수익,0,,천미불,(단위 : 천미불) || 황 || 나. 종류별 영업현 || 나. 종류별 영업현 황,"[""0"", ""1"", ""2"", ""3""]","[""영업수익"", ""34732"", ""64207"", ""58034""]","[{""column"": ""1"", ""raw"": ""34732"", ""numeric"": 34732.0}, {""column"": ""2"", ""raw"": ""64207"", ""numeric"": 64207.0}, {""column"": ""3"", ""raw"": ""58034"", ""numeric"": 58034.0}]",영업수익 | 34732 | 64207 | 58034
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,203,4,revenue,영업수익,0,,천미불,(단위 : 천미불) || (단위 : 천미불) || 황 || 나. 종류별 영업현,"[""0"", ""1"", ""2"", ""3""]","[""영업수익"", ""47416"", ""76746"", ""93182""]","[{""column"": ""1"", ""raw"": ""47416"", ""numeric"": 47416.0}, {""column"": ""2"", ""raw"": ""76746"", ""numeric"": 76746.0}, {""column"": ""3"", ""raw"": ""93182"", ""numeric"": 93182.0}]",영업수익 | 47416 | 76746 | 93182
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,213,4,revenue,영업수익,0,,천미불,(단위 : 천미불) || 황 || 나. 종류별 영업현,"[""0"", ""1"", ""2"", ""3""]","[""영업수익"", ""54248"", ""96147"", ""81549""]","[{""column"": ""1"", ""raw"": ""54248"", ""numeric"": 54248.0}, {""column"": ""2"", ""raw"": ""96147"", ""numeric"": 96147.0}, {""column"": ""3"", ""raw"": ""81549"", ""numeric"": 81549.0}]",영업수익 | 54248 | 96147 | 81549
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,220,4,revenue,영업수익,0,,천미불,(단위 : 천미불) || (단위 : 천미불) || 황,"[""0"", ""1"", ""2"", ""3""]","[""영업수익"", ""5350"", ""10258"", ""11529""]","[{""column"": ""1"", ""raw"": ""5350"", ""numeric"": 5350.0}, {""column"": ""2"", ""raw"": ""10258"", ""numeric"": 10258.0}, {""column"": ""3"", ""raw"": ""11529"", ""numeric"": 11529.0}]",영업수익 | 5350 | 10258 | 11529
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,227,4,revenue,영업수익,0,,천미불,(단위 : 천미불) || (단위 : 천미불),"[""0"", ""1"", ""2"", ""3""]","[""영업수익"", ""3393"", ""6955"", ""8430""]","[{""column"": ""1"", ""raw"": ""3393"", ""numeric"": 3393.0}, {""column"": ""2"", ""raw"": ""6955"", ""numeric"": 6955.0}, {""column"": ""3"", ""raw"": ""8430"", ""numeric"": 8430.0}]",영업수익 | 3393 | 6955 | 8430
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,234,4,revenue,영업수익,0,,천미불,(단위 : 천미불) || (단위 : 천미불) || 나. 종류별 영업현황,"[""0"", ""1"", ""2"", ""3""]","[""영업수익"", ""4038"", ""9196"", ""7372""]","[{""column"": ""1"", ""raw"": ""4038"", ""numeric"": 4038.0}, {""column"": ""2"", ""raw"": ""9196"", ""numeric"": 9196.0}, {""column"": ""3"", ""raw"": ""7372"", ""numeric"": 7372.0}]",영업수익 | 4038 | 9196 | 7372
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,241,4,revenue,영업수익,0,,천미불,(단위 : 천미불) || (단위 : 천미불) || 나. 종류별 영업현황 || 나. 종류별 영업현황,"[""0"", ""1"", ""2"", ""3""]","[""영업수익"", ""12909"", ""16268"", ""-""]","[{""column"": ""1"", ""raw"": ""12909"", ""numeric"": 12909.0}, {""column"": ""2"", ""raw"": ""16268"", ""numeric"": 16268.0}]",영업수익 | 12909 | 16268 | -
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,248,4,revenue,영업수익,0,,천미불,(단위 : 천미불) || (단위 : 천미불) || 나. 종류별 영업현황,"[""0"", ""1"", ""2"", ""3""]","[""영업수익"", ""12712"", ""-"", ""-""]","[{""column"": ""1"", ""raw"": ""12712"", ""numeric"": 12712.0}]",영업수익 | 12712 | - | -
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,260,3,net_income,당기순이익,0,,억원,(단위 : 억원) || 가. 영업실적,"[""0"", ""1"", ""2"", ""3""]","[""당기순이익"", ""130.3"", ""262.7"", ""297.2""]","[{""column"": ""1"", ""raw"": ""130.3"", ""numeric"": 130.3}, {""column"": ""2"", ""raw"": ""262.7"", ""numeric"": 262.7}, {""column"": ""3"", ""raw"": ""297.2"", ""numeric"": 297.2}]",당기순이익 | 130.3 | 262.7 | 297.2
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,262,1,assets,자산총계,0,,억원,(단위 : 억원) || 황 || 나. 종류별 영업현,"[""0"", ""1"", ""2"", ""3"", ""4""]","[""자산총계"", ""자산총계"", ""7782"", ""7867"", ""7851""]","[{""column"": ""2"", ""raw"": ""7782"", ""numeric"": 7782.0}, {""column"": ""3"", ""raw"": ""7867"", ""numeric"": 7867.0}, {""column"": ""4"", ""raw"": ""7851"", ""numeric"": 7851.0}]",자산총계 | 자산총계 | 7782 | 7867 | 7851
