stock_code,corp_code,corp_name,rcept_no,rcept_dt,report_nm,report_type,period_key,is_correction
000070,00126937,삼양홀딩스,20190401004874,2019-04-01,[기재정정]사업보고서 (2018.12),FY,사업보고서 (2018.12),True
000070,00126937,삼양홀딩스,20240314001491,2024-03-14,사업보고서 (2023.12),FY,사업보고서 (2023.12),False
000070,00126937,삼양홀딩스,20240328001539,2024-03-28,[기재정정]사업보고서 (2023.12),FY,사업보고서 (2023.12),True
000080,00150244,하이트진로,20210210001188,2021-02-10,[기재정정]반기보고서 (2016.06),H1,반기보고서 (2016.06),True
000080,00150244,하이트진로,20210210001252,2021-02-10,[기재정정]반기보고서 (2016.06),H1,반기보고서 (2016.06),True
000080,00150244,하이트진로,20210210001202,2021-02-10,[기재정정]반기보고서 (2017.06),H1,반기보고서 (2017.06),True
000080,00150244,하이트진로,20180814000953,2018-08-14,반기보고서 (2018.06),H1,반기보고서 (2018.06),False
000080,00150244,하이트진로,20210210001220,2021-02-10,[기재정정]반기보고서 (2018.06),H1,반기보고서 (2018.06),True
000080,00150244,하이트진로,20210210001183,2021-02-10,[기재정정]분기보고서 (2016.03),Q1,분기보고서 (2016.03),True
000080,00150244,하이트진로,20210210001193,2021-02-10,[기재정정]분기보고서 (2016.09),Q3,분기보고서 (2016.09),True
000080,00150244,하이트진로,20210210001199,2021-02-10,[기재정정]분기보고서 (2017.03),Q1,분기보고서 (2017.03),True
000080,00150244,하이트진로,20210210001206,2021-02-10,[기재정정]분기보고서 (2017.09),Q3,분기보고서 (2017.09),True
000080,00150244,하이트진로,20180515000842,2018-05-15,분기보고서 (2018.03),Q1,분기보고서 (2018.03),False
000080,00150244,하이트진로,20210210001216,2021-02-10,[기재정정]분기보고서 (2018.03),Q1,분기보고서 (2018.03),True
000080,00150244,하이트진로,20181114000940,2018-11-14,분기보고서 (2018.09),Q3,분기보고서 (2018.09),False
000080,00150244,하이트진로,20210210001222,2021-02-10,[기재정정]분기보고서 (2018.09),Q3,분기보고서 (2018.09),True
000080,00150244,하이트진로,20190515001366,2019-05-15,분기보고서 (2019.03),Q1,분기보고서 (2019.03),False
000080,00150244,하이트진로,20210210001228,2021-02-10,[기재정정]분기보고서 (2019.03),Q1,분기보고서 (2019.03),True
000080,00150244,하이트진로,20221111000351,2022-11-11,분기보고서 (2022.09),Q3,분기보고서 (2022.09),False
000080,00150244,하이트진로,20221111001063,2022-11-11,[기재정정]분기보고서 (2022.09),Q3,분기보고서 (2022.09),True
000080,00150244,하이트진로,20210210001197,2021-02-10,[기재정정]사업보고서 (2016.12),FY,사업보고서 (2016.12),True
000080,00150244,하이트진로,20180330000582,2018-03-30,사업보고서 (2017.12),FY,사업보고서 (2017.12),False
000080,00150244,하이트진로,20180411002381,2018-04-11,[기재정정]사업보고서 (2017.12),FY,사업보고서 (2017.12),True
000080,00150244,하이트진로,20210210001210,2021-02-10,[기재정정]사업보고서 (2017.12),FY,사업보고서 (2017.12),True
000080,00150244,하이트진로,20190401001777,2019-04-01,사업보고서 (2018.12),FY,사업보고서 (2018.12),False
000080,00150244,하이트진로,20210210001227,2021-02-10,[기재정정]사업보고서 (2018.12),FY,사업보고서 (2018.12),True
000080,00150244,하이트진로,20250313000666,2025-03-13,사업보고서 (2024.12),FY,사업보고서 (2024.12),False
000080,00150244,하이트진로,20250320000493,2025-03-20,[기재정정]사업보고서 (2024.12),FY,사업보고서 (2024.12),True
000120,00113410,CJ대한통운,20190814002624,2019-08-14,반기보고서 (2019.06),H1,반기보고서 (2019.06),False
000120,00113410,CJ대한통운,20191002000607,2019-10-02,[기재정정]반기보고서 (2019.06),H1,반기보고서 (2019.06),True
000120,00113410,CJ대한통운,20190515002136,2019-05-15,분기보고서 (2019.03),Q1,분기보고서 (2019.03),False
000120,00113410,CJ대한통운,20191002000604,2019-10-02,[기재정정]분기보고서 (2019.03),Q1,분기보고서 (2019.03),True
000120,00113410,CJ대한통운,20190401004105,2019-04-01,사업보고서 (2018.12),FY,사업보고서 (2018.12),False
000120,00113410,CJ대한통운,20191002000600,2019-10-02,[기재정정]사업보고서 (2018.12),FY,사업보고서 (2018.12),True
000120,00113410,CJ대한통운,20240315000705,2024-03-15,사업보고서 (2023.12),FY,사업보고서 (2023.12),False
000120,00113410,CJ대한통운,20240320001789,2024-03-20,[기재정정]사업보고서 (2023.12),FY,사업보고서 (2023.12),True
000120,00113410,CJ대한통운,20250317000953,2025-03-17,사업보고서 (2024.12),FY,사업보고서 (2024.12),False
000120,00113410,CJ대한통운,20250317001020,2025-03-17,[첨부정정]사업보고서 (2024.12),FY,사업보고서 (2024.12),True
000150,00117212,두산,20230814002153,2023-08-14,반기보고서 (2023.06),H1,반기보고서 (2023.06),False
000150,00117212,두산,20230922000499,2023-09-22,[기재정정]반기보고서 (2023.06),H1,반기보고서 (2023.06),True
000150,00117212,두산,20240814004477,2024-08-14,반기보고서 (2024.06),H1,반기보고서 (2024.06),False
000150,00117212,두산,20240830001779,2024-08-30,[기재정정]반기보고서 (2024.06),H1,반기보고서 (2024.06),True
000150,00117212,두산,20180330003064,2018-03-30,사업보고서 (2017.12),FY,사업보고서 (2017.12),False
000150,00117212,두산,20240418000391,2024-04-18,[기재정정]사업보고서 (2017.12),FY,사업보고서 (2017.12),True
000150,00117212,두산,20241002000378,2024-10-02,[기재정정]사업보고서 (2017.12),FY,사업보고서 (2017.12),True
000150,00117212,두산,20190329003598,2019-03-29,사업보고서 (2018.12),FY,사업보고서 (2018.12),False
000150,00117212,두산,20240418000394,2024-04-18,[기재정정]사업보고서 (2018.12),FY,사업보고서 (2018.12),True
000150,00117212,두산,20241002000384,2024-10-02,[기재정정]사업보고서 (2018.12),FY,사업보고서 (2018.12),True
000150,00117212,두산,20200330004497,2020-03-30,사업보고서 (2019.12),FY,사업보고서 (2019.12),False
000150,00117212,두산,20240418000398,2024-04-18,[기재정정]사업보고서 (2019.12),FY,사업보고서 (2019.12),True
000150,00117212,두산,20241002000388,2024-10-02,[기재정정]사업보고서 (2019.12),FY,사업보고서 (2019.12),True
000150,00117212,두산,20210322001065,2021-03-22,사업보고서 (2020.12),FY,사업보고서 (2020.12),False
000150,00117212,두산,20240418000399,2024-04-18,[기재정정]사업보고서 (2020.12),FY,사업보고서 (2020.12),True
000150,00117212,두산,20241002000389,2024-10-02,[기재정정]사업보고서 (2020.12),FY,사업보고서 (2020.12),True
000150,00117212,두산,20220322000008,2022-03-22,사업보고서 (2021.12),FY,사업보고서 (2021.12),False
000150,00117212,두산,20220322000813,2022-03-22,[첨부정정]사업보고서 (2021.12),FY,사업보고서 (2021.12),True
000150,00117212,두산,20250321001806,2025-03-21,사업보고서 (2024.12),FY,사업보고서 (2024.12),False
000150,00117212,두산,20250814002379,2025-08-14,[기재정정]사업보고서 (2024.12),FY,사업보고서 (2024.12),True
000210,00109693,DL,20180228002234,2018-02-28,[기재정정]반기보고서 (2017.06),H1,반기보고서 (2017.06),True
000210,00109693,DL,20190515002315,2019-05-15,분기보고서 (2019.03),Q1,분기보고서 (2019.03),False
000210,00109693,DL,20190517000118,2019-05-17,[기재정정]분기보고서 (2019.03),Q1,분기보고서 (2019.03),True
000210,00109693,DL,20240514001258,2024-05-14,분기보고서 (2024.03),Q1,분기보고서 (2024.03),False
000210,00109693,DL,20240516001673,2024-05-16,[기재정정]분기보고서 (2024.03),Q1,분기보고서 (2024.03),True
000210,00109693,DL,20180327000210,2018-03-27,사업보고서 (2017.12),FY,사업보고서 (2017.12),False
