stock_code,period_key,rcept_no,rcept_dt,table_index,ranking_score,base_statement_score,balance_coverage,income_coverage,families,unit_hints,false_positive_hits,score_reason,heading_context,columns_json,assets_rows,liabilities_rows,equity_rows,revenue_rows,operating_income_rows,net_income_rows,rank_within_receipt
000030,반기보고서_(2018.06),20180814002502,2018-08-14,135,2.0,0.0,1,0,equity,백만원,,,(단위 : 백만원) || (단위 : 백만원) || 다. 자금조달 및 운영실적,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11""]",,,조달 | 기타 | 자본총계 | 1585123 | 17.2 | - | 1538755 | 18.5 | - | 1370683 | 18.8 | -,,,,9
000030,반기보고서_(2018.06),20180814002502,2018-08-14,197,2.0,0.0,0,1,revenue,천미불,,,(단위 : 천미불) || 황 || 나. 종류별 영업현 || 나. 종류별 영업현 황,"[""0"", ""1"", ""2"", ""3""]",,,,영업수익 | 34732 | 64207 | 58034,,,9
000030,반기보고서_(2018.06),20180814002502,2018-08-14,203,2.0,0.0,0,1,revenue,천미불,,,(단위 : 천미불) || (단위 : 천미불) || 황 || 나. 종류별 영업현,"[""0"", ""1"", ""2"", ""3""]",,,,영업수익 | 47416 | 76746 | 93182,,,9
000030,반기보고서_(2018.06),20180814002502,2018-08-14,213,2.0,0.0,0,1,revenue,천미불,,,(단위 : 천미불) || 황 || 나. 종류별 영업현,"[""0"", ""1"", ""2"", ""3""]",,,,영업수익 | 54248 | 96147 | 81549,,,9
000030,반기보고서_(2018.06),20180814002502,2018-08-14,220,2.0,0.0,0,1,revenue,천미불,,,(단위 : 천미불) || (단위 : 천미불) || 황,"[""0"", ""1"", ""2"", ""3""]",,,,영업수익 | 5350 | 10258 | 11529,,,9
000030,반기보고서_(2018.06),20180814002502,2018-08-14,227,2.0,0.0,0,1,revenue,천미불,,,(단위 : 천미불) || (단위 : 천미불),"[""0"", ""1"", ""2"", ""3""]",,,,영업수익 | 3393 | 6955 | 8430,,,9
000030,반기보고서_(2018.06),20180814002502,2018-08-14,234,2.0,0.0,0,1,revenue,천미불,,,(단위 : 천미불) || (단위 : 천미불) || 나. 종류별 영업현황,"[""0"", ""1"", ""2"", ""3""]",,,,영업수익 | 4038 | 9196 | 7372,,,9
000030,반기보고서_(2018.06),20180814002502,2018-08-14,241,2.0,0.0,0,1,revenue,천미불,,,(단위 : 천미불) || (단위 : 천미불) || 나. 종류별 영업현황 || 나. 종류별 영업현황,"[""0"", ""1"", ""2"", ""3""]",,,,영업수익 | 12909 | 16268 | -,,,9
000030,반기보고서_(2018.06),20180814002502,2018-08-14,248,2.0,0.0,0,1,revenue,천미불,,,(단위 : 천미불) || (단위 : 천미불) || 나. 종류별 영업현황,"[""0"", ""1"", ""2"", ""3""]",,,,영업수익 | 12712 | - | -,,,9
000030,반기보고서_(2018.06),20180814002502,2018-08-14,260,2.0,0.0,0,1,net_income,억원,,,(단위 : 억원) || 가. 영업실적,"[""0"", ""1"", ""2"", ""3""]",,,,,,당기순이익 | 130.3 | 262.7 | 297.2,9
