stock_code,period_key,rcept_no,rcept_dt,is_correction,role,period_end_expected,selection_status,concept_local_name,concept_namespace,context_ref,unit_ref,decimals,scale,raw_value,numeric_value,selected_value,start_date,end_date,instant,duration_days,dimension_count,dimension_text,candidate_count_final
000080,반기보고서_(2016.06),20210210001252,2021-02-10,True,net_income_parent_cumulative,2016-06-30,selected,ProfitLossAttributableToOwnersOfParent,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2016dHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,16233610786,16233610786.0,16233610786.0,2016-01-01,2016-06-30,,182.0,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000120,반기보고서_(2019.06),20190814002624,2019-08-14,False,assets_total,2019-06-30,selected,Assets,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2019eHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,9101231987199,9101231987199.0,9101231987199.0,,,2019-06-30,,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000120,반기보고서_(2019.06),20190814002624,2019-08-14,False,liabilities_total,2019-06-30,selected,Liabilities,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2019eHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,5581776556152,5581776556152.0,5581776556152.0,,,2019-06-30,,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000120,반기보고서_(2019.06),20190814002624,2019-08-14,False,equity_total,2019-06-30,selected,Equity,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2019eHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,3519455431047,3519455431047.0,3519455431047.0,,,2019-06-30,,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000120,반기보고서_(2019.06),20190814002624,2019-08-14,False,equity_parent,2019-06-30,selected,EquityAttributableToOwnersOfParent,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2019eHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,3019108955239,3019108955239.0,3019108955239.0,,,2019-06-30,,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000120,반기보고서_(2019.06),20190814002624,2019-08-14,False,revenue_cumulative,2019-06-30,selected,Revenue,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2019dHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,4967569774523,4967569774523.0,4967569774523.0,2019-01-01,2019-06-30,,181.0,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000120,반기보고서_(2019.06),20190814002624,2019-08-14,False,operating_income_cumulative,2019-06-30,selected,OperatingIncomeLoss,http://dart.fss.or.kr/taxonomy/2018-07-01/ifrs/dart,CFY2019dHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,117135247731,117135247731.0,117135247731.0,2019-01-01,2019-06-30,,181.0,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000120,반기보고서_(2019.06),20190814002624,2019-08-14,False,net_income_total_cumulative,2019-06-30,selected,ProfitLoss,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2019dHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,4583707480,4583707480.0,4583707480.0,2019-01-01,2019-06-30,,181.0,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000120,반기보고서_(2019.06),20190814002624,2019-08-14,False,net_income_parent_cumulative,2019-06-30,selected,ProfitLossAttributableToOwnersOfParent,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2019dHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,-1972426403,-1972426403.0,-1972426403.0,2019-01-01,2019-06-30,,181.0,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000120,반기보고서_(2019.06),20191002000607,2019-10-02,True,assets_total,2019-06-30,selected,Assets,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2019eHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,9093576673071,9093576673071.0,9093576673071.0,,,2019-06-30,,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000120,반기보고서_(2019.06),20191002000607,2019-10-02,True,liabilities_total,2019-06-30,selected,Liabilities,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2019eHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,5581776556152,5581776556152.0,5581776556152.0,,,2019-06-30,,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
