date,market_return_1d,market_return_5d,market_return_20d,market_volatility_20d,market_drawdown,volume_change_1d,trading_value_change_1d,trading_value_ratio_20d,base_rate,usdkrw,bond3y,usdkrw_return_1d,usdkrw_return_5d,usdkrw_return_20d,bond3y_change_1d,bond3y_change_5d,bond3y_change_20d,base_rate_change,rate_spread_3y
2018-12-17,0.0020458565292167386,0.0009852056311423496,-0.025492651838229352,0.16099649620365483,-0.1821145351003245,-0.15512757208473893,-0.1422666256427091,1.038997730927647,1.75,1131.3,1.795,0.0004421648390520172,0.0042609853528627895,0.0023923444976077235,0.014000000000000012,-0.008000000000000007,-0.14700000000000002,0.0,0.04499999999999993
2018-12-18,-0.004002017277001446,0.0008091739070021919,-0.01854761141391459,0.15720051586973074,-0.18538772686146143,0.0569418213758619,0.017623535358465503,1.0583733921065392,1.75,1129.6,1.795,-0.001502696013435889,-0.0004424387222369264,0.0033753775093265936,0.0,0.0029999999999998916,-0.14500000000000002,0.0,0.04499999999999993
2018-12-19,0.00971856981853203,-0.0044528903526078745,-0.005589917237052711,0.16125570145699736,-0.17747086060993134,-0.1821307670379113,-0.07231255160408423,0.9837482796284648,1.75,1123.5,1.783,-0.005400141643059464,-0.00443066016836513,-0.007158006362672276,-0.01200000000000001,-0.020000000000000018,-0.16300000000000003,0.0,0.03299999999999992
2018-12-20,-0.008751496327930375,-0.01664941546510046,-0.012489524914587768,0.1640143418099114,-0.1846692213529192,-0.009201914930043631,0.07788347761239978,1.0471700818576453,1.75,1127.8,1.8,0.0038273253226523973,0.003916681502581287,-0.0012398157987957292,0.017000000000000126,0.0050000000000001155,-0.1419999999999999,0.0,0.050000000000000044
2018-12-21,0.0017543287040815425,0.0006683674716962962,-0.004718243062480143,0.16288801419271448,-0.18323886316461746,0.09390741347024467,0.04964918824729869,1.0778761364039744,1.75,1122.4,1.838,-0.0047880829934384694,-0.007428369296073489,-0.007164971251658492,0.038000000000000034,0.05700000000000016,-0.07599999999999985,0.0,0.08800000000000008
2018-12-24,-0.002744992628432308,-0.004115895817404014,-0.021045224844879584,0.15430125714982287,-0.18548086646442064,-0.21154822360968994,-0.2551392806279613,0.804246904734255,1.75,1125.2,1.846,0.0024946543121882048,-0.005392026871740341,-0.003277526795996133,0.008000000000000007,0.051000000000000156,-0.06799999999999984,0.0,0.09600000000000009
2018-12-26,-0.01133690538421317,-0.011449945282001828,-0.040026647421306905,0.15439496040964754,-0.19471499281494486,0.3792293020930608,0.46938286229129345,1.1628266198137118,1.75,1125.4,1.807,0.0001777461784571166,-0.003718130311614609,-0.0035417035594120794,-0.039000000000000146,0.01200000000000001,-0.10099999999999998,0.0,0.05699999999999994
2018-12-27,-0.0016522917286275751,-0.022582419360056782,-0.045662028335412885,0.15264382792965978,-0.19604555857150452,-0.1322665642420513,-0.07528236313469494,1.0638693155132894,1.75,1120.0,1.81,-0.004798293939932585,-0.0031152647975077885,-0.005770084332001768,0.0030000000000001137,0.027000000000000135,-0.10999999999999988,0.0,0.06000000000000005
2018-12-28,0.005478137102379765,-0.008551332473848317,-0.04209829241757734,0.15451895474009222,-0.19164138591729196,-0.15710393724189708,-0.2735367545177434,0.7808545292402455,1.75,1115.7,1.817,-0.0038392857142857117,-0.010728852633445585,-0.0031272337383845272,0.006999999999999895,0.016999999999999904,-0.07200000000000006,0.0,0.06699999999999995
2019-01-02,-0.014847003440159323,-0.0249818765323494,-0.04748187699432638,0.1591433315625374,-0.20364308904146033,0.03194096457081641,0.06054941425472382,0.8496681526302722,1.75,1119.0,1.802,0.0029577843506318757,-0.0030292230933713915,-0.001962183374955462,-0.014999999999999902,-0.03600000000000003,-0.09499999999999997,0.0,0.052000000000000046
