date,open,high,low,close,volume,trading_value,market_cap,market_return_1d,market_return_5d,market_return_20d,market_volatility_20d,market_drawdown,volume_change_1d,trading_value_change_1d,trading_value_ma20,trading_value_ratio_20d
2024-10-25,1598.06,1606.76,1584.21,1588.99,155489432,9813739968048,2033222265578855,0.0007620703120079231,-0.0077804489681226885,-0.02156993140478569,0.20928705734004077,-0.20430349828240646,0.04917317679010469,0.028590369499770674,10164787938826.45,0.9654643094483505
2024-10-28,1592.8,1609.78,1591.48,1608.69,144631239,8854090780433,2059352127875390,0.012397812446900192,0.0001865219256522721,0.00563237647529502,0.20759340213726715,-0.19443860228945709,-0.06983235362259221,-0.09778628644527643,10022181436474.9,0.8834494602352008
2024-10-29,1605.65,1613.79,1596.48,1613.79,164702388,9276226619586,2063892218143610,0.003170281409096809,0.018183309463270625,-0.024369747899159577,0.16596267003790413,-0.19188474596640925,0.1387746460500141,0.047676926928047036,9890646384507.0,0.9378787046837055
2024-10-30,1606.37,1611.53,1593.39,1598.09,152270934,8565588786856,2042835309849515,-0.009728651187577153,-0.003908100426338268,-0.026664717669486637,0.16732337765041994,-0.1997466173922624,-0.07547828632575748,-0.0766085027752067,9761298114433.45,0.8775050906590564
2024-10-31,1585.31,1591.33,1571.4,1575.04,189589172,10998721420100,2014215927339600,-0.014423468014942764,-0.008023781632216065,-0.01595056761028879,0.15052312886083458,-0.2112890464601549,0.24507788203361258,0.28405900560830943,9768030132528.35,1.1259917578953147
2024-11-01,1565.87,1575.6,1561.42,1564.13,137785883,8112417058228,2000746609394510,-0.006926808208045365,-0.01564515824517454,-0.012949231691540719,0.14844642137178293,-0.21675229596691004,-0.27323970273998555,-0.2624218081019237,9690141871592.9,0.8371824856362451
2024-11-04,1568.24,1596.55,1565.57,1596.55,141546144,9117315505561,2044335761050480,0.020727177408527364,-0.0075465130012619674,0.003437916383839834,0.16613686916184353,-0.20051778185059443,0.027290611477229554,0.12387164517309723,9639842086918.4,0.945795109852838
2024-11-05,1583.86,1593.43,1579.8,1586.54,149123555,7820734684239,2033083196257780,-0.006269769189815588,-0.016885716233214998,-0.018788808351681063,0.15627556449385036,-0.2055303508297529,0.05353315029196426,-0.1422108098081245,9504167190406.85,0.8228742747847446
2024-11-06,1596.78,1598.06,1567.19,1581.01,189457634,11243239008741,2019498997083895,-0.003485572377626811,-0.010687758511723322,-0.013822613946119278,0.1540371108318256,-0.20829953229376363,0.2704742319213085,0.4376192854872467,9579269343123.9,1.1737052802269845
2024-11-07,1576.9,1589.69,1565.11,1578.97,207008374,10856353086120,2016392630910130,-0.0012903144192636384,0.002495174725721361,-0.017130514351163084,0.1537110636746037,-0.20932107482298268,0.09263675276341732,-0.0344105397314971,9436430555953.35,1.1504724187548687
2024-11-08,1593.19,1597.58,1572.75,1577.19,175679740,10720078103688,2016905428987620,-0.0011273171751204902,0.008349689603805333,-0.018165179877612125,0.15368886061235193,-0.21021242075534052,-0.15133993564917325,-0.012552556217633515,9458332285662.8,1.1334004536865117
2024-11-11,1573.09,1573.09,1548.52,1552.74,214851394,11125420557051,1991724125169255,-0.015502254008711747,-0.0274404184021797,-0.04348468888026458,0.15580824105854288,-0.2224559084217168,0.22297194884282057,0.03781152053580206,9573255955429.3,1.1621354958906553
2024-11-12,1548.64,1551.11,1518.38,1519.44,216841402,11815451817162,1953736107630625,-0.02144596004482391,-0.042293292321655906,-0.06781678302801264,0.1680701601517603,-0.23913108794279359,0.009262253146004706,0.06202293716201823,9643953777506.55,1.2251667821884658
2024-11-13,1511.07,1519.57,1478.14,1479.18,208906105,11204891277307,1902959133200945,-0.026496604012004377,-0.06440819476157644,-0.08224651618747436,0.18531455930504884,-0.259291530210618,-0.03659493494697108,-0.051674751782928685,9712741965904.25,1.1536280194244646
2024-11-14,1486.48,1494.69,1470.42,1473.42,256072983,13466133777728,1901855873655220,-0.003894049405751776,-0.0668473751876223,-0.08678351844506149,0.18427695999756938,-0.2621758855872367,0.2257802757846641,0.2018085177676503,9897261062147.0,1.3605919550036412
2024-11-15,1473.77,1495.32,1464.35,1485.53,222824944,12166310599476,1899703078275195,0.008218973544542596,-0.05811601645965303,-0.07238440163601745,0.18924201262827842,-0.2561117287103527,-0.1298381368096142,-0.09652534273807767,10070377892116.35,1.208128506180534
2024-11-18,1502.65,1530.2,1499.08,1519.88,215474525,11963998932867,1940787673084825,0.02312306045653756,-0.021162590002189563,-0.05503018546496807,0.21037124414224417,-0.23891075524041294,-0.03298741544842487,-0.016628842815973655,10272544531972.65,1.1646577822690185
2024-11-19,1518.84,1524.94,1512.04,1516.4,183180263,10193925415748,1940407906751475,-0.0022896544464037216,-0.002000737113673434,-0.0432626485043881,0.2056851113064964,-0.24065338661378677,-0.14987508152065776,-0.14794998955209926,10323497011152.55,0.9874488658964522
2024-11-20,1520.3,1527.23,1514.64,1519.32,141480537,8252643464140,1953476533363465,0.0019256132946450233,0.027136656796332925,-0.053005559849410355,0.19929353784473863,-0.23919117867980655,-0.22764311676962712,-0.1904351731482189,10255412062416.5,0.8047110553835138
2024-11-21,1513.87,1532.41,1512.25,1521.44,156141067,9976274656812,1953441012347665,0.0013953610825896412,0.03259084307257942,-0.041781607023642975,0.19763307423916648,-0.23812957565924542,0.10362223886667898,0.20885807076988727,10277177775994.55,0.9707212305030471
2024-11-22,1529.13,1541.42,1527.07,1531.62,147568095,9086048667161,1967465621602185,0.006691029550951688,0.03102596379743261,-0.03610469543546535,0.1998631456857911,-0.23303187813598536,-0.054905299193324986,-0.08923431042900731,10240793210950.2,0.8872407127062714
2024-11-25,1547.4,1558.78,1541.49,1554.78,258245899,14241381201203,1997505365108955,0.015121244172836557,0.022962339132036602,-0.033511739365570836,0.20263672402670482,-0.22143436589249765,0.7500117420367864,0.5673899318495308,10510157731988.7,1.3550111772212472
2024-11-26,1547.03,1552.67,1542.67,1547.88,167590095,9186207390666,1983483396828760,-0.004437926909273249,0.020759694012133956,-0.04084174520848427,0.2020473718633683,-0.2248895832707387,-0.35104450584131053,-0.3549637313345688,10505656770542.7,0.8744058169141443
2024-11-27,1544.99,1548.23,1530.42,1533.72,155449713,9046268583418,1969599013816990,-0.009147995968679767,0.009477924334570842,-0.040279333454311006,0.20176331750093346,-0.23198029023825972,-0.07244092796772983,-0.015233578047692431,10529690760370.8,0.8591200624299662
2024-11-28,1531.73,1538.31,1527.99,1530.21,127232848,7757752429652,1971414709409400,-0.002288553321336373,0.005764275949100783,-0.028462769199512294,0.1963602214192204,-0.2337379442958868,-0.18151763972700286,-0.14243620359977782,10367642310848.4,0.7482658252527205
2024-11-29,1524.83,1525.29,1493.63,1501.0,163304430,9166233434822,1929993849939510,-0.01908888322517832,-0.019991903997074956,-0.04036109530537746,0.20545993229042195,-0.24836503119710762,0.2835084065712339,0.18155786974929056,10420333129678.1,0.8796487905665602
2024-12-02,1515.23,1517.59,1497.15,1500.91,146674529,8174635915193,1931472090882075,-5.996002664887534e-05,-0.03464798878297892,-0.059904168363032695,0.18745257221521416,-0.24841009924986723,-0.10183374082380992,-0.10817938760559787,10373199150159.7,0.7880535018039395
2024-12-03,1510.93,1531.75,1510.93,1530.56,184012076,9851835080999,1968760922499490,0.019754682159489834,-0.011189497893893674,-0.035284329421256366,0.20353606708447466,-0.23356267964626587,0.254560537910437,0.2051711150448714,10474754169997.7,0.9405313882417504
2024-12-04,1498.22,1520.09,1495.52,1507.57,264222677,13152744628594,1938880062722960,-0.015020646038051422,-0.0170500482487026,-0.04645131909349087,0.20891347919964479,-0.245075063345652,0.43589857113508135,0.3350552988814628,10570229450990.35,1.244319689518347
2024-12-05,1512.0,1512.0,1490.18,1495.03,183116205,9802026285336,1922211974283560,-0.008318021717067858,-0.022990308519745706,-0.05316123802225503,0.2099528941511297,-0.2513545453634989,-0.30696257005979843,-0.2547543070192023,10517513110951.15,0.9319718627333905
2024-12-06,1500.56,1504.44,1464.09,1486.39,201355746,10684487940347,1911933194335325,-0.005779148244516752,-0.009733510992671501,-0.05757074290351827,0.21015631053918316,-0.2556810784284269,0.09960637290402552,0.09002849301997662,10515733602784.1,1.016047795040968
2024-12-09,1463.55,1469.86,1444.85,1445.75,189305450,10016755974547,1857993102288020,-0.02734141106977317,-0.036751037703793066,-0.06890400195782942,0.22337573256958979,-0.2760318080301255,-0.05984580147019991,-0.06249545785703925,10460300373658.9,0.9575973554039774
2024-12-10,1462.17,1482.92,1461.94,1481.43,173839271,9401917712417,1904401503960985,0.024679232232405424,-0.03209936232490063,-0.025015795293002685,0.23389782501036316,-0.2581648288916263,-0.08169959713257069,-0.061380976405168486,10339623668421.65,0.9093094694666202
2024-12-11,1475.77,1495.56,1475.09,1494.82,137413031,7428741806332,1920147851301980,0.009038564090102064,-0.008457318731468488,0.01057342581700671,0.2161911942988349,-0.25145970415327146,-0.2095397650396268,-0.2098695145437245,10150816194872.9,0.7318368950552174
2024-12-12,1504.24,1522.91,1498.42,1517.38,218351328,12239148434972,1951772166164335,0.015092118114555797,0.014949532785295316,0.02983534905186569,0.2213824091850986,-0.24016264559484812,0.5890147128768304,0.6475398868405653,10089466927735.1,1.2130619509071987
2024-12-13,1513.83,1530.92,1511.29,1525.12,172583441,9292136052648,1974826547574960,0.005100897599810139,0.026056418571168916,0.026650421061843232,0.22041366197016166,-0.23628679305751688,-0.20960663449686,-0.24078573750304733,9945758200393.7,0.9342813152525842
2024-12-16,1536.86,1539.85,1517.26,1521.9,157366887,8408873831373,1970227167885655,-0.0021113092740242534,0.05267162372471046,0.0013290522936020288,0.20510890728583978,-0.2378992278340294,-0.08816925837050615,-0.09505480938619004,9768001945319.0,0.8608591479041097
2024-12-17,1520.32,1520.91,1500.12,1501.66,175961437,9300747894727,1942157944738770,-0.013299165516788225,0.013655724536427716,-0.009720390398311851,0.21049499914185452,-0.24803453214353666,0.11816049967360676,0.10606343741613444,9723343069267.95,0.9565380783614822
2024-12-18,1504.9,1526.49,1504.3,1520.87,135415486,8761019928640,1964078453943540,0.01279250962268419,0.017426847379617527,0.0010201932443461015,0.21556393184457184,-0.23841500666005677,-0.23042520958725743,-0.058030598420262036,9748761892492.95,0.8986802657870266
2024-12-19,1482.41,1496.33,1480.85,1486.81,138793892,8259678081626,1922767202835965,-0.022395076502265132,-0.020146568427157452,-0.022761331370280913,0.22979584554397367,-0.2554707608488819,0.024948446442824235,-0.05722414183479951,9662932063733.65,0.854779690796517
2024-12-20,1482.8,1484.72,1456.15,1466.65,159592673,8662749504273,1895273848130295,-0.0135592308364888,-0.03833796684851021,-0.042419137906269055,0.23197923135449722,-0.26556600466704716,0.1498537197876113,0.04879989494307879,9641767105589.25,0.8984607706663313
2024-12-23,1479.45,1493.74,1473.14,1488.25,139931636,7315083320053,1924979437971325,0.014727440084546295,-0.022110519745055623,-0.04279061989477606,0.23159620900309874,-0.2547496720047271,-0.12319511059257715,-0.15557025902171684,9295452211531.75,0.7869529263974975
2024-12-24,1494.37,1496.11,1483.84,1491.16,125056309,7036680061027,1925359111533880,0.0019553166470687167,-0.006992261896834218,-0.036643667467762375,0.2318457606631794,-0.2532924716321645,-0.10630424559604235,-0.03805879534725287,9187975845049.8,0.7658574837044383
2024-12-26,1496.67,1496.67,1481.97,1482.35,132118389,7256822266281,1916630439051220,-0.005908152042705117,-0.025327608539848945,-0.03349372766867498,0.2307597799417965,-0.25770413324119423,0.056471201305005714,0.03128495303819023,9098503529192.95,0.7975841568887857
