date,base_rate,usdkrw,bond3y,usdkrw_return_1d,bond3y_change_1d,base_rate_change,usdkrw_return_5d,usdkrw_return_20d,bond3y_change_5d,bond3y_change_20d,rate_spread_3y
2019-05-14,1.75,1189.4,1.711,0.0016000000000000458,-0.010000000000000009,0.0,0.019631375910844406,0.04388274530454628,-0.01200000000000001,-0.02200000000000002,-0.038999999999999924
2019-05-15,1.75,1188.6,1.71,-0.0006726080376662225,-0.001000000000000112,0.0,0.016418676244227548,0.04898067249139526,-0.007000000000000117,-0.050999999999999934,-0.040000000000000036
2019-05-16,1.75,1191.5,1.675,0.0024398451960290224,-0.03499999999999992,0.0,0.009916935073741362,0.04913269349299987,-0.03299999999999992,-0.08999999999999986,-0.07499999999999996
2019-05-17,1.75,1195.7,1.67,0.003524968527066852,-0.0050000000000001155,0.0,0.015887850467289688,0.05366584420162157,-0.049000000000000155,-0.1080000000000001,-0.08000000000000007
2019-05-20,1.75,1194.2,1.681,-0.001254495274734424,0.01100000000000012,0.0,0.005642105263157893,0.050400211100360526,-0.040000000000000036,-0.06000000000000005,-0.06899999999999995
2019-05-21,1.75,1194.0,1.663,-0.00016747613465084576,-0.018000000000000016,0.0,0.003867496216579669,0.05022429413316898,-0.04800000000000004,-0.09299999999999997,-0.08699999999999997
2019-05-22,1.75,1192.8,1.667,-0.0010050251256281673,0.0040000000000000036,0.0,0.0035335689045936647,0.04494086727989477,-0.04299999999999993,-0.10199999999999987,-0.08299999999999996
2019-05-23,1.75,1189.2,1.648,-0.003018108651911433,-0.019000000000000128,0.0,-0.0019303399076793237,0.04151339989490288,-0.027000000000000135,-0.1200000000000001,-0.10200000000000009
2019-05-24,1.75,1188.4,1.643,-0.0006727211570803915,-0.004999999999999893,0.0,-0.006105210337041034,0.032583195759840144,-0.026999999999999913,-0.1060000000000001,-0.10699999999999998
2019-05-27,1.75,1184.5,1.652,-0.003281723325479713,0.008999999999999897,0.0,-0.008122592530564465,0.02068074105988793,-0.029000000000000137,-0.07200000000000006,-0.09800000000000009
2019-05-28,1.75,1185.8,1.654,0.001097509497678395,0.0020000000000000018,0.0,-0.006867671691792365,0.0213608957795004,-0.009000000000000119,-0.06600000000000006,-0.09600000000000009
2019-05-29,1.75,1193.9,1.619,0.006830831506156265,-0.03499999999999992,0.0,0.0009221998658619501,0.030556754423823884,-0.04800000000000004,-0.09299999999999997,-0.131
2019-05-30,1.75,1188.8,1.626,-0.004271714548957362,0.006999999999999895,0.0,-0.00033636057854025125,0.01763396678650908,-0.02200000000000002,-0.07300000000000018,-0.12400000000000011
2019-05-31,1.75,1190.9,1.587,0.0017664872139975252,-0.038999999999999924,0.0,0.002103668798384417,0.021617911984215477,-0.05600000000000005,-0.14500000000000002,-0.16300000000000003
2019-06-03,1.75,1182.1,1.575,-0.0073893693844993,-0.01200000000000001,0.0,-0.0020261713803293446,0.010341880341880216,-0.07699999999999996,-0.16400000000000015,-0.17500000000000004
2019-06-04,1.75,1182.8,1.57,0.0005921664833770102,-0.004999999999999893,0.0,-0.0025299375948726333,0.01397342477496788,-0.08399999999999985,-0.15300000000000002,-0.17999999999999994
2019-06-05,1.75,1178.6,1.542,-0.003550896178559415,-0.028000000000000025,0.0,-0.012815143646871752,0.007867282367025608,-0.07699999999999996,-0.17500000000000004,-0.20799999999999996
2019-06-07,1.75,1181.4,1.537,0.002375699983030888,-0.0050000000000001155,0.0,-0.006224764468371391,0.0013561620613664616,-0.08899999999999997,-0.17100000000000004,-0.21300000000000008
2019-06-10,1.75,1185.2,1.533,0.003216522769595276,-0.0040000000000000036,0.0,-0.004786296078596042,0.006966864910790127,-0.05400000000000005,-0.18600000000000017,-0.21700000000000008
2019-06-11,1.75,1180.4,1.542,-0.004049949375632744,0.009000000000000119,0.0,-0.001438118602486993,-0.005978947368420973,-0.03299999999999992,-0.17900000000000005,-0.20799999999999996
2019-06-12,1.75,1182.6,1.469,0.0018637749915282331,-0.07299999999999995,0.0,-0.00016909029421718902,-0.005717168320161559,-0.10099999999999998,-0.242,-0.2809999999999999
2019-06-13,1.75,1183.1,1.48,0.0004227972264501112,0.010999999999999899,0.0,0.003818089258442292,-0.004627292613158307,-0.062000000000000055,-0.22999999999999998,-0.27
2019-06-14,1.75,1185.3,1.47,0.0018595215958077116,-0.010000000000000009,0.0,0.0033011681056371867,-0.005203524968527051,-0.06699999999999995,-0.20500000000000007,-0.28
2019-06-17,1.75,1186.5,1.491,0.0010124019235637771,0.02100000000000013,0.0,0.0010968612892339191,-0.0076942376850380745,-0.041999999999999815,-0.17899999999999983,-0.2589999999999999
