date,000660.KS,005380.KS,005930.KS,035420.KS,105560.KS
2025-07-02,277778.75,206075.515625,60046.4765625,249380.40625,109203.953125
2025-07-03,277280.90625,207040.734375,63009.29296875,250370.0,112475.2578125
2025-07-04,269315.96875,203179.859375,62515.4921875,246411.59375,107856.9375
2025-07-07,269813.75,201249.40625,60935.3203125,253338.828125,110069.8828125
2025-07-08,280765.625,203662.453125,60639.03515625,255318.03125,117382.21875
2025-07-09,279770.0,202214.625,59651.4296875,251359.609375,113918.484375
2025-07-10,295699.9375,200766.796875,60243.9921875,256802.4375,112379.046875
2025-07-11,293210.90625,200766.796875,61824.1640625,250370.0,112860.1171875
2025-07-14,298686.84375,209453.8125,61725.40234375,246411.59375,114014.6953125
2025-07-15,297193.40625,203662.453125,62910.53515625,246906.390625,115073.0625
2025-07-16,294704.34375,200284.171875,63898.140625,247401.1875,109300.15625
2025-07-17,268320.3125,202697.234375,65873.359375,240968.765625,110454.75
2025-07-18,267822.53125,203179.859375,66268.390625,239484.359375,109107.734375
2025-07-21,271307.1875,201732.015625,66959.71875,237505.140625,110647.1796875
2025-07-22,267324.71875,199318.9375,65182.03515625,232557.125,110262.3125
2025-07-23,267822.53125,214279.9375,65577.0625,229093.5,110935.8203125
2025-07-24,268320.3125,209936.40625,65182.03515625,224640.28125,112763.90625
2025-07-25,264835.6875,208971.1875,65083.26953125,232062.3125,114303.3515625
2025-07-28,260853.171875,210901.640625,69527.5,233051.921875,106317.4921875
2025-07-29,261350.984375,210419.015625,69725.015625,230577.90625,107087.2265625
2025-07-30,262346.59375,215245.125,71700.2265625,231567.515625,108530.4453125
2025-07-31,272302.84375,205592.90625,70515.1015625,232557.125,106702.3671875
2025-08-01,256870.671875,202697.234375,68046.0859375,222661.078125,101987.828125
2025-08-04,256870.671875,203662.453125,68836.171875,230083.109375,104296.984375
2025-08-05,262346.59375,203179.859375,69033.6875,229588.3125,108145.5859375
2025-08-06,257368.46875,203179.859375,67947.328125,226124.6875,111224.4609375
2025-08-07,260853.171875,205110.28125,69626.25,233051.921875,110647.1796875
2025-08-08,255377.25,205110.28125,70910.140625,227114.296875,110084.6328125
2025-08-11,265831.3125,205110.28125,70120.0625,220681.859375,109308.7109375
2025-08-12,267822.53125,205592.90625,70218.8125,220681.859375,110666.5703125
2025-08-13,276783.15625,208488.578125,71008.90625,222661.078125,111151.53125
2025-08-14,275289.6875,209936.40625,70712.625,222166.265625,109793.65625
2025-08-18,266329.09375,208971.1875,69132.4609375,223650.671875,103974.2109375
2025-08-19,261848.765625,211384.25,69132.4609375,223155.875,106108.0078125
2025-08-20,254381.609375,212832.078125,69626.25,219197.453125,106205.0
2025-08-21,243927.578125,213797.328125,69725.015625,220681.859375,106398.9765625
2025-08-22,249901.328125,212349.46875,70515.1015625,219692.265625,105138.1015625
2025-08-25,258364.109375,214279.9375,70613.8671875,223155.875,106980.921875
2025-08-26,260355.34375,210901.640625,69428.734375,218702.65625,105041.09375
2025-08-27,258861.9375,212349.46875,69725.015625,215733.84375,105235.0859375
2025-08-28,267710.84375,216742.90625,68737.4140625,215239.03125,105817.0390625
2025-08-29,268209.375,214790.28125,68836.171875,212270.21875,104944.1171875
2025-09-01,255247.59375,215278.4375,66762.1953125,213259.828125,103877.21875
2025-09-02,259734.359375,214790.28125,68243.6015625,222661.078125,105526.0625
2025-09-03,261728.46875,216254.75,68934.9375,218702.65625,106883.9375
2025-09-04,264719.6875,216254.75,69231.2109375,224640.28125,105235.0859375
2025-09-05,272696.125,214790.28125,68638.6484375,226619.5,105332.078125
2025-09-08,276185.84375,213325.796875,69231.2109375,225629.890625,103489.25
2025-09-09,287153.5,213813.953125,70613.8671875,228598.703125,106592.9609375
2025-09-10,303106.46875,215278.4375,71700.2265625,231072.71875,114061.2578125
2025-09-11,306097.71875,217719.21875,72490.3203125,230577.90625,114061.2578125
