date,Breadth_20D,Momentum_20D,Dispersion_20D,Leader,Leader_Momentum_20D,Leadership_Gap_20D,NAVER_Momentum_20D,Semiconductor_Momentum_20D,Auto_Momentum_20D,Finance_Momentum_20D,NAVER_Relative_Strength,Semiconductor_Relative_Strength,Auto_Relative_Strength,Finance_Relative_Strength
2025-05-20,0.54,0.0852246361022164,0.0146052576601666,105560.KS,0.21093932192189513,0.05665355219192514,0.007625221744420374,0.08440238599366212,0.04292777505856349,0.21093932192189513,-0.07843419639802027,-0.00165703214877852,-0.04313164308387715,0.12487990377945449
2025-05-21,0.51,0.0673614637685249,0.0144496487568033,105560.KS,0.20091024468049645,0.055195771841847874,-0.014399940986540294,0.07647385954383568,0.0042734241124058325,0.20091024468049645,-0.08314623036534696,0.007727570165029007,-0.06447286526640084,0.13216395530168978
2025-05-22,0.4699999999999999,0.0452414270435173,0.0146536857764966,105560.KS,0.17925518515408512,0.0643059630746412,-0.022933314201115773,0.05115692669551125,-0.026161337813503494,0.17925518515408512,-0.06942819150721344,0.004662049389413579,-0.07265621511960116,0.13276030784798745
2025-05-23,0.47,0.0469058283434185,0.0144830877439234,105560.KS,0.19861791368139237,0.047869872943397285,-0.054723730128272585,0.06810131993343432,-0.03071113963756089,0.19861791368139237,-0.10460086688475809,0.018224183176948815,-0.0805882763940464,0.14874077692490686
2025-05-26,0.48,0.0468011857060306,0.0141290135457782,105560.KS,0.2116938690725203,0.09014686551525686,-0.025401757267277114,0.051796838402758116,-0.042631622036995,0.2116938690725203,-0.07485259058203,0.0023460050880052333,-0.09208245535174789,0.1622430357577674
2025-05-27,0.48,0.0451702735461634,0.0143540300726228,105560.KS,0.21622924466870885,0.08050298697610825,-0.040208858469686026,0.051705163348043814,-0.037056687595669824,0.21622924466870885,-0.08868366352957416,0.0032303582881556894,-0.08553149265555796,0.16775443960882072
2025-05-28,0.49,0.0508028020832722,0.0144216141175569,105560.KS,0.17358138055133288,0.045598594310642504,-0.029974137646146426,0.06578671865094088,-0.015360120144340073,0.17358138055133288,-0.08193824965869205,0.013822606638395254,-0.0673242321568857,0.12161726853878725
2025-05-29,0.51,0.0707225891819067,0.0147277383231153,105560.KS,0.19746882901033436,0.03052987734558621,-0.0317135407349497,0.08615761988508763,0.024357657508033537,0.19746882901033436,-0.10419917784566839,0.013671982774368943,-0.04812797960268515,0.12498319189961567
2025-05-30,0.5000000000000001,0.0516055617971933,0.0152611758529035,105560.KS,0.19950318741848894,0.06637630439349906,-0.04580157762748416,0.07014762169648903,-0.02579920874449171,0.19950318741848894,-0.09944110651538238,0.0165080928085908,-0.07943873763238993,0.14586365853059072
2025-06-02,0.5,0.0430290375705271,0.01535754506385,000660.KS,0.17112549606355576,0.05167435423005018,-0.06982536983581189,0.09727447027288594,-0.02146806546705371,0.11945114183350558,-0.11436669925109426,0.05273314085760357,-0.06600939488233608,0.07490981241822321
2025-06-04,0.52,0.0663290680966468,0.0154816908804333,000660.KS,0.17146676318533927,0.0024596668564529356,-0.060283687659625995,0.11796171251984078,-0.004564692950348115,0.16900709632888633,-0.12830011581134476,0.049945284368122025,-0.07258112110206687,0.10099066817716758
