date,Regime-Aware V1,Static MVO,Equal Weight,EIIE 40ep,Cash
2026-02-05,125.93361151978435,130.9533062263505,125.93361151978435,103.72593249852949,100.0
2026-02-06,125.63581490483548,129.54916875494376,125.63581490483548,100.9503028559463,100.0
2026-02-09,129.32782324530694,135.49642598130168,129.32782324530694,101.29848307655902,100.0
2026-02-10,130.1633756606873,135.03083508533905,130.1633756606873,102.68846453222432,100.0
2026-02-11,133.41143394487656,137.1174747976749,133.41143394487656,103.90111270210566,100.0
2026-02-12,136.28179784199583,143.68399300369546,136.28179784199583,103.20942624594089,100.0
2026-02-13,135.6388781469046,144.59036340895054,135.6388781469046,102.1713881286986,100.0
2026-02-19,137.97653829644773,150.41476544744182,137.97653829644773,102.34448329893408,100.0
2026-02-20,140.0183994917412,151.64851386427173,140.0183994917412,102.86253369451404,100.0
2026-02-23,141.36830127999303,153.97607039027992,141.36830127999303,103.20645205192646,100.0
2026-02-24,143.66274953349313,159.1458741407985,143.66274953349313,103.03552887881222,100.0
2026-02-25,147.11622776059488,163.79438244613593,147.11622776059488,102.35442718410593,100.0
2026-02-26,154.70288472920194,175.66434564500955,154.70288472920194,105.83426663127582,100.0
2026-02-27,154.83066012964767,177.06869971097058,154.83066012964767,103.79282061458039,100.0
2026-03-03,141.2574424511096,158.59780681975283,141.2574424511096,97.49289220454004,100.0
2026-03-04,124.51048994790668,139.41325415545728,124.51048994790668,87.85128052338425,100.0
2026-03-05,124.51048994790668,154.59121486092644,135.8307272928448,92.0763063366611,100.0
2026-03-06,123.8614997871303,152.53496327736588,135.12273228309874,92.95112978541826,100.0
2026-03-09,113.7663952161778,140.10288060714294,126.82427283903822,91.54988691541784,100.0
2026-03-10,113.7663952161778,151.4312043718418,134.01073376341049,92.25514383934853,100.0
2026-03-11,115.40656405692778,153.23818874689186,135.94276500538774,92.78568209219608,100.0
2026-03-12,113.83492255099942,151.04808224635195,134.09145530165426,92.78568168754667,100.0
2026-03-13,112.69416358945459,147.9513621038194,132.7477022083676,93.14113581655761,100.0
2026-03-16,113.99365817416103,151.84047366098198,134.27843738273236,91.3641681116427,100.0
2026-03-17,116.09047666702057,155.41315204616888,136.7483775110352,93.5040875355593,100.0
2026-03-18,121.79565194806314,166.61245915384126,143.46876910126346,94.39406812776645,100.0
2026-03-19,118.35329952907006,160.05469926119943,139.4138619147878,92.25435290327707,100.0
2026-03-20,117.88783921020236,159.05671054577311,138.86557453387286,92.6130778861346,100.0
2026-03-23,110.31235975621495,148.52406427303046,129.94206457902695,88.12288210936453,100.0
2026-03-24,110.31235975621495,151.99116898505181,133.11348020773818,89.75892775320219,100.0
2026-03-25,110.31235975621495,152.27846605166263,134.44771559997844,90.48664983760752,100.0
2026-03-26,110.31235975621495,145.40292387661688,130.92041636123332,89.02939135933818,100.0
2026-03-27,110.31235975621495,145.6509516169802,131.1876003853086,89.02939136988492,100.0
2026-03-30,110.31235975621495,141.10355388278805,126.00394267841861,87.37204555871918,100.0
2026-03-31,110.31235975621495,133.32892351097126,120.14924266104032,85.33049815592254,100.0
2026-04-01,110.31235975621495,149.88879250439402,130.47817682273285,88.70035387279451,100.0
2026-04-02,104.55156495315036,141.01045171104042,123.66427124936949,83.20031488604481,100.0
2026-04-03,104.55156495315036,146.66884173713092,126.45451951981232,83.84485735682699,100.0
2026-04-06,104.55156495315036,150.53217859930456,127.90056853281287,83.57846399452164,100.0
2026-04-07,105.54082107251436,153.3179064484129,129.11075051476516,83.23393261057213,100.0
2026-04-08,105.54082107251436,165.59912336747865,138.53461152676766,85.38672754954399,100.0
2026-04-09,103.16158125285573,160.25836143796934,135.41158234435338,85.38672745846307,100.0
2026-04-10,104.5631820265894,162.0255813874919,137.25134649183337,85.57967185480419,100.0
2026-04-13,103.31519984420848,159.03119437500882,135.6132246251323,84.42006616025117,100.0
2026-04-14,105.86090791553187,164.16282467022427,138.9547627630537,85.39003350550315,100.0
2026-04-15,108.97703665039475,168.26179690895333,143.0450444129854,89.08008190400155,100.0
2026-04-16,108.97703665039475,173.6661396251757,147.6274555890068,91.99182739666952,100.0
