date,Breadth_20D,Momentum_20D,Dispersion_20D
2025-08-11,0.48,-0.027619025100734773,0.020359613025048955
2025-08-12,0.49000000000000005,-0.022592934152520394,0.019733846462695073
2025-08-13,0.52,0.0030303118942496265,0.019056386293758137
2025-08-14,0.5,0.01215891507275857,0.017012257042236967
2025-08-18,0.49000000000000005,-0.006911347721897276,0.017826576689589944
2025-08-19,0.4800000000000001,-0.00871622547864026,0.017979473131707197
2025-08-20,0.51,0.0005776540897575178,0.018342934054918866
2025-08-21,0.51,-0.019287475288621403,0.01761120238224382
2025-08-22,0.51,-0.011376904080061201,0.01759160540829332
2025-08-25,0.54,-0.0015335996138859942,0.017286813752217994
2025-08-26,0.52,-0.013485610976656348,0.015375503234984217
2025-08-27,0.52,-0.014554512022181498,0.015455096466630564
2025-08-28,0.5,-0.02016800776197214,0.015857214711158914
2025-08-29,0.5,-0.018541734774452312,0.014668231515418706
2025-09-01,0.52,0.0040825040835794635,0.01501158303299146
2025-09-02,0.52,0.009052821181474435,0.015164094480803619
2025-09-03,0.53,0.0016989830434006592,0.014918460103781745
2025-09-04,0.55,0.011512996012231325,0.014712678833825262
2025-09-05,0.5399999999999999,0.0018106745514492317,0.01480000346056271
2025-09-08,0.55,0.007027423824264911,0.014533039717606878
2025-09-09,0.5900000000000001,0.02934723418182794,0.013973307036936477
2025-09-10,0.6,0.05700895176275611,0.015165340988446694
2025-09-11,0.58,0.04824384941879911,0.014931478684691668
2025-09-12,0.62,0.0785190376413587,0.015911098079730644
